n,W,V,instance,strategy,max_value,time,memory_kb
24,480,480,23,BB,896.0,9.909e-06,3980.0
24,480,480,23,DP,896.0,0.0127234,26348.0
24,480,480,24,BT,1141.0,1.59867,4012.0
24,480,480,24,BB,1141.0,1.0221e-05,4072.0
24,480,480,24,DP,1141.0,0.012837,26044.0
24,480,480,25,BT,1226.0,1.59236,4052.0
24,480,480,25,BB,1224.0,1.0414e-05,3976.0
24,480,480,25,DP,1226.0,0.0129119,25980.0
24,480,480,26,BT,1148.0,1.5813,4148.0
24,480,480,26,BB,1148.0,9.665e-06,4036.0
24,480,480,26,DP,1148.0,0.01289,26040.0
24,480,480,27,BT,984.0,1.5293,3972.0
24,480,480,27,BB,984.0,9.057e-06,4068.0
24,480,480,27,DP,984.0,0.0129192,26028.0
24,480,480,28,BT,980.0,1.47095,4060.0
24,480,480,28,BB,980.0,8.768e-06,4004.0
24,480,480,28,DP,980.0,0.0131294,26000.0
24,480,480,29,BT,925.0,1.54535,4032.0
24,480,480,29,BB,912.0,8.453e-06,3980.0
24,480,480,29,DP,925.0,0.0131338,26392.0
