n,W,V,instance,strategy,max_value,time,memory_kb
8,160,160,4,BT,399.0,1.5113e-05,4052.0
8,160,160,4,BB,399.0,3.467e-06,3976.0
8,160,160,4,DP,399.0,0.000418235,4360.0
8,160,160,5,BT,351.0,1.431e-05,4044.0
8,160,160,5,BB,351.0,3.258e-06,4056.0
8,160,160,5,DP,351.0,0.000421834,4364.0
8,160,160,6,BT,448.0,1.4777e-05,3972.0
8,160,160,6,BB,448.0,3.994e-06,3976.0
8,160,160,6,DP,448.0,0.000413826,4332.0
8,160,160,7,BT,276.0,1.3425e-05,4060.0
8,160,160,7,BB,276.0,3.677e-06,4064.0
8,160,160,7,DP,276.0,0.000419421,4356.0
8,160,160,8,BT,297.0,1.3409e-05,4028.0
8,160,160,8,BB,297.0,3.668e-06,3976.0
8,160,160,8,DP,297.0,0.000416491,4348.0
8,160,160,9,BT,347.0,1.4531e-05,3972.0
8,160,160,9,BB,347.0,3.418e-06,4056.0
8,160,160,9,DP,347.0,0.000426442,4340.0
8,160,160,10,BT,444.0,1.46e-05,4064.0
8,160,160,10,BB,444.0,3.506e-06,4048.0
8,160,160,10,DP,444.0,0.000420078,4356.0
8,160,160,11,BT,352.0,1.4276e-05,4048.0
8,160,160,11,BB,352.0,3.432e-06,4064.0
8,160,160,11,DP,352.0,0.000420571,4440.0
8,160,160,12,BT,308.0,1.581e-05,3972.0
8,160,160,12,BB,308.0,3.366e-06,4152.0
8,160,160,12,DP,308.0,0.000412266,4432.0
8,160,160,13,BT,196.0,1.3607e-05,3972.0
8,160,160,13,BB,196.0,3.014e-06,4000.0
8,160,160,13,DP,196.0,0.000413609,4364.0
8,160,160,14,BT,410.0,1.5456e-05,4060.0
8,160,160,14,BB,410.0,3.111e-06,3976.0
8,160,160,14,DP,410.0,0.00105293,4448.0
8,160,160,15,BT,456.0,1.5477e-05,4028.0
8,160,160,15,BB,456.0,3.368e-06,4024.0
8,160,160,15,DP,456.0,0.00101452,4428.0
8,160,160,16,BT,282.0,1.6146e-05,4064.0
8,160,160,16,BB,282.0,3.468e-06,4052.0
8,160,160,16,DP,282.0,0.000945204,4392.0
8,160,160,17,BT,406.0,1.4602e-05,3996.0
8,160,160,17,BB,406.0,3.352e-06,4088.0
8,160,160,17,DP,406.0,0.00409965,4420.0
8,160,160,18,BT,344.0,1.3617e-05,4036.0
8,160,160,18,BB,344.0,3.346e-06,4036.0
8,160,160,18,DP,344.0,0.000418663,4344.0
8,160,160,19,BT,497.0,1.5407e-05,4088.0
8,160,160,19,BB,497.0,3.515e-06,4056.0
8,160,160,19,DP,497.0,0.000423522,4364.0
8,160,160,20,BT,501.0,1.3721e-05,4084.0
8,160,160,20,BB,501.0,4e-06,4040.0
8,160,160,20,DP,501.0,0.000441136,4400.0
8,160,160,21,BT,305.0,1.3964e-05,4000.0
8,160,160,21,BB,305.0,3.668e-06,4044.0
8,160,160,21,DP,305.0,0.000424508,4412.0
8,160,160,22,BT,343.0,1.5243e-05,4044.0
8,160,160,22,BB,343.0,3.341e-06,3980.0
8,160,160,22,DP,343.0,0.000420323,4348.0
8,160,160,23,BT,250.0,1.4449e-05,4056.0
8,160,160,23,BB,250.0,3.025e-06,3976.0
8,160,160,23,DP,250.0,0.000418905,4444.0
8,160,160,24,BT,297.0,1.3251e-05,4036.0
8,160,160,24,BB,297.0,3.034e-06,3968.0
8,160,160,24,DP,297.0,0.00042221,4432.0
8,160,160,25,BT,352.0,1.7118e-05,4044.0
8,160,160,25,BB,352.0,3.409e-06,4048.0
8,160,160,25,DP,352.0,0.000420264,4364.0
8,160,160,26,BT,337.0,1.4046e-05,4060.0
8,160,160,26,BB,337.0,4.096e-06,4060.0
8,160,160,26,DP,337.0,0.000476146,4412.0
8,160,160,27,BT,471.0,1.3919e-05,4144.0
8,160,160,27,BB,471.0,3.461e-06,4048.0
8,160,160,27,DP,471.0,0.000417848,4332.0
8,160,160,28,BT,413.0,1.4497e-05,3976.0
8,160,160,28,BB,413.0,3.184e-06,4152.0
8,160,160,28,DP,413.0,0.00042817,4376.0
8,160,160,29,BT,415.0,1.5532e-05,4028.0
8,160,160,29,BB,415.0,3.334e-06,4064.0
8,160,160,29,DP,415.0,0.000420055,4352.0
12,240,240,0,BT,533.0,0.00026217,4060.0
12,240,240,0,BB,533.0,4.409e-06,3992.0
12,240,240,0,DP,533.0,0.00576206,7052.0
12,240,240,1,BT,506.0,0.000308891,3976.0
12,240,240,1,BB,506.0,4.231e-06,3980.0
12,240,240,1,DP,506.0,0.00130206,7008.0
12,240,240,2,BT,531.0,0.000259987,4048.0
12,240,240,2,BB,525.0,4.484e-06,3976.0
12,240,240,2,DP,531.0,0.00130101,7148.0
12,240,240,3,BT,638.0,0.000232437,3992.0
12,240,240,3,BB,638.0,3.985e-06,4064.0
12,240,240,3,DP,638.0,0.00131696,7056.0
12,240,240,4,BT,504.0,0.000227647,4060.0
12,240,240,4,BB,504.0,3.358e-06,4052.0
12,240,240,4,DP,504.0,0.00137737,7048.0
12,240,240,5,BT,437.0,0.000267879,4064.0
12,240,240,5,BB,437.0,4.299e-06,3980.0
12,240,240,5,DP,437.0,0.0013355,6972.0
12,240,240,6,BT,449.0,0.00025802,4060.0
12,240,240,6,BB,449.0,5.736e-06,3976.0
12,240,240,6,DP,449.0,0.0013003,7144.0
12,240,240,7,BT,601.0,0.00027229,3992.0
12,240,240,7,BB,601.0,4.439e-06,4056.0
12,240,240,7,DP,601.0,0.00140641,6968.0
12,240,240,8,BT,568.0,0.00024399,4148.0
12,240,240,8,BB,568.0,4.899e-06,3996.0
12,240,240,8,DP,568.0,0.00134507,6972.0
12,240,240,9,BT,587.0,0.000265671,4032.0
12,240,240,9,BB,587.0,5.821e-06,4064.0
12,240,240,9,DP,587.0,0.00132989,6972.0
12,240,240,10,BT,550.0,0.000265119,4060.0
12,240,240,10,BB,550.0,4.977e-06,4048.0
12,240,240,10,DP,550.0,0.00145292,7032.0
12,240,240,11,BT,578.0,0.000272623,3992.0
12,240,240,11,BB,578.0,4.464e-06,3972.0
12,240,240,11,DP,578.0,0.001411,6952.0
12,240,240,12,BT,560.0,0.000268055,4084.0
12,240,240,12,BB,560.0,3.955e-06,4056.0
12,240,240,12,DP,560.0,0.00139706,7064.0
12,240,240,13,BT,513.0,0.000244936,4036.0
12,240,240,13,BB,513.0,5.488e-06,4060.0
12,240,240,13,DP,513.0,0.00138301,7064.0
12,240,240,14,BT,572.0,0.000252753,3976.0
12,240,240,14,BB,572.0,1.1683e-05,3980.0
12,240,240,14,DP,572.0,0.00976977,6972.0
12,240,240,15,BT,516.0,0.000259639,3972.0
12,240,240,15,BB,516.0,4.479e-06,4000.0
12,240,240,15,DP,516.0,0.00141507,7096.0
12,240,240,16,BT,468.0,0.000238568,4144.0
12,240,240,16,BB,468.0,4.024e-06,4040.0
12,240,240,16,DP,468.0,0.0013121,7052.0
12,240,240,17,BT,440.0,0.000254795,4004.0
12,240,240,17,BB,440.0,4.767e-06,4092.0
12,240,240,17,DP,440.0,0.00134878,6972.0
12,240,240,18,BT,431.0,0.00026711,4036.0
12,240,240,18,BB,431.0,4.616e-06,4088.0
12,240,240,18,DP,431.0,0.00129874,7040.0
12,240,240,19,BT,623.0,0.000259177,3972.0
12,240,240,19,BB,623.0,4.329e-06,4052.0
12,240,240,19,DP,623.0,0.00149878,7148.0
12,240,240,20,BT,485.0,0.000269579,4060.0
12,240,240,20,BB,485.0,4.664e-06,4092.0
12,240,240,20,DP,485.0,0.00130698,7056.0
12,240,240,21,BT,629.0,0.000262856,3968.0
12,240,240,21,BB,629.0,4.448e-06,3976.0
12,240,240,21,DP,629.0,0.00129683,6996.0
12,240,240,22,BT,659.0,0.000263125,3972.0
12,240,240,22,BB,659.0,3.924e-06,4000.0
12,240,240,22,DP,659.0,0.00142156,6976.0
12,240,240,23,BT,662.0,0.000271501,3976.0
12,240,240,23,BB,662.0,4.409e-06,3980.0
12,240,240,23,DP,662.0,0.00140389,6972.0
12,240,240,24,BT,559.0,0.000301955,4064.0
12,240,240,24,BB,559.0,4.378e-06,4060.0
12,240,240,24,DP,559.0,0.00147734,6992.0
12,240,240,25,BT,594.0,0.000259539,3976.0
12,240,240,25,BB,594.0,4.539e-06,4048.0
12,240,240,25,DP,594.0,0.00129778,7048.0
12,240,240,26,BT,437.0,0.000218397,4056.0
12,240,240,26,BB,437.0,4.96e-06,4088.0
12,240,240,26,DP,437.0,0.00132299,6976.0
12,240,240,27,BT,534.0,0.000311303,4040.0
12,240,240,27,BB,534.0,4.951e-06,4044.0
12,240,240,27,DP,534.0,0.00130323,7064.0
